ADC_REF, -30.99, 18.67, 0.00, SMTU2477N-LF, SMTU2477N-LF
C1, -12.45, 42.04, 0.00, 1 uF, CAPC1005X33N
C10, -19.30, 31.24, 180.00, 0.01uF, CAPC0402X22N
C11, -9.91, 41.02, 180.00, 1 uF, CAPC1005X33N
C12, -23.11, 31.24, 180.00, 1 uF, CAPC1005X33N
C13, -39.50, 31.12, 180.00, 1 uF, CAPC1005X33N
C14, -11.30, 36.07, 0.00, 1 uF, CAPC1005X33N
C15, -18.80, 36.45, 270.00, 1 uF, CAPC1005X33N
C16, -10.29, 39.50, 90.00, 1 uF, CAPC1005X33N
C17, -8.13, 39.88, 180.00, 1 uF, CAPC1005X33N
C18, -34.93, 36.58, 270.00, 1 uF, CAPC1005X33N
C2, -7.87, 41.02, 180.00, 1 uF, CAPC1005X33N
C21, -11.81, 38.23, 270.00, 1 uF, CAPC1005X33N
C24, -23.11, 34.67, 90.00, 1 uF, CAPC1005X33N
C25, -20.32, 36.20, 180.00, 1 uF, CAPC1005X33N
C26, -24.51, 36.83, 0.00, 1 uF, CAPC1005X33N
C27, -20.45, 33.02, 90.00, 1 uF, CAPC1005X33N
C28, -22.35, 36.20, 180.00, 1 uF, CAPC1005X33N
C29, -24.00, 32.77, 270.00, 1 uF, CAPC1005X33N
C30, -20.83, 35.05, 180.00, 1 uF, CAPC1005X33N
C31, -36.58, 36.32, 180.00, 1 uF, CAPC1005X33N
C32, -40.89, 36.45, 0.00, 1 uF, CAPC1005X33N
C37, -38.61, 36.32, 180.00, 1 uF, CAPC1005X33N
C38, -36.70, 33.02, 90.00, 1 uF, CAPC1005X33N
C39, -39.12, 34.80, 90.00, 1 uF, CAPC1005X33N
C4, -9.40, 36.07, 180.00, 1 uF, CAPC1005X33N
C40, -37.08, 35.05, 180.00, 1 uF, CAPC1005X33N
C51, -40.01, 32.77, 270.00, 1 uF, CAPC1005X33N
C6, -21.21, 31.24, 180.00, 1 uF, CAPC1005X33N
C64, -25.02, 32.89, 270.00, 0.1 uF, CAPC0402X22N
C65, -9.02, 42.04, 180.00, 0.1 uF, CAPC0402X22N
C66, -10.41, 42.04, 180.00, 0.1 uF, CAPC0402X22N
C67, -40.26, 34.80, 90.00, 0.1 uF, CAPC0402X22N
C68, -7.62, 42.04, 180.00, 0.1 uF, CAPC0402X22N
C69, -6.60, 39.37, 90.00, 0.1 uF, CAPC0402X22N
C7, -6.48, 41.40, 270.00, 1 uF, CAPC1005X33N
C70, -12.95, 38.10, 270.00, 0.1 uF, CAPC0402X22N
C71, -19.43, 33.15, 90.00, 0.1 uF, CAPC0402X22N
C72, -23.88, 34.80, 90.00, 0.1 uF, CAPC0402X22N
