ADC1, -38.23, 34.16, 0.00, AD7771BCPZ, QFN50P900X900X80-65N
ADC2, -22.35, 34.16, 0.00, AD7771BCPZ, QFN50P900X900X80-65N
ADC3, -9.53, 39.50, 0.00, AD7771BCPZ, QFN50P900X900X80-65N
ADR4525, -33.27, 17.02, 0.00, ADR4525, SOIC-8
AGND_SELECT, -54.51, 16.76, 270.00, 219-3LPSTR, 2193LPSTR
AGND_SUB1.2V, -46.99, 14.61, 270.00, ISL21010DFH312Z-TK, SOT95P237X112-3N
BC832, -19.05, 11.79, 180.00, BC832, XCVR_BC832
C19, -25.53, 20.96, 90.00, 2.2uF, CAPC0603X33N
C3, -29.72, 18.54, 90.00, 2.2uF, CAPC0603X33N
C5, -28.45, 18.67, 270.00, 1 uF, CAPC1005X33N
C55, -25.65, 18.41, 270.00, 10 uF, CAPC1608X100N
C56, -31.50, 9.14, 0.00, 10 uF, CAPC1608X100N
C57, -48.01, 11.43, 90.00, 0.01uF, CAPC0402X22N
C63, -32.26, 11.18, 270.00, 0.1 uF, CAPC0402X22N
C75, -40.26, 7.75, 90.00, 1 uF, CAPC0402X22N
C76, -29.72, 14.99, 270.00, 0.1 uF, CAPC0402X22N
C88, -47.63, 17.78, 180.00, 0.1 uF, CAPC0402X22N
CHARGER, -26.92, 10.54, 270.00, BQ24072TRGTR, QFN50P300X300X100-17N
CLOCK, -36.45, 9.40, 0.00, SG-210STF 8.1920ML3 , SG-210STF8.1920ML
LED1, -50.67, 8.38, 90.00, SML-P11MTT86R, LEDC1006X25N
LED3, -48.01, 8.76, 90.00, 150060RS75000, LEDC1608X80N
R24, -19.05, 45.72, 270.00, 0 Ohm, RESC1608X55N
R25, -21.59, 45.72, 270.00, 0 Ohm, RESC1608X55N
R26, -24.13, 45.72, 270.00, 0 Ohm, RESC1608X55N
R27, -26.67, 45.72, 270.00, 0 Ohm, RESC1608X55N
R28, -29.21, 45.72, 270.00, 0 Ohm, RESC1608X55N
R29, -31.75, 45.72, 270.00, 0 Ohm, RESC1608X55N
R30, -34.29, 45.72, 270.00, 0 Ohm, RESC1608X55N
R31, -36.83, 45.72, 270.00, 0 Ohm, RESC1608X55N
R32, -39.37, 45.72, 270.00, 0 Ohm, RESC1608X55N
R33, -41.91, 45.72, 270.00, 0 Ohm, RESC1608X55N
R34, -44.45, 45.72, 270.00, 0 Ohm, RESC1608X55N
R35, -46.99, 45.72, 270.00, 0 Ohm, RESC1608X55N
R36, -49.53, 45.72, 270.00, 0 Ohm, RESC1608X55N
R37, -52.07, 45.72, 270.00, 0 Ohm, RESC1608X55N
R38, -54.61, 45.72, 270.00, 0 Ohm, RESC1608X55N
R39, -57.15, 45.72, 270.00, 0 Ohm, RESC1608X55N
R40, -50.80, 24.13, 0.00, 0 Ohm, RESC1608X55N
R42, -50.93, 42.04, 0.00, 0 Ohm, RESC1608X55N
R44, -50.80, 39.37, 0.00, 0 Ohm, RESC1608X55N
R46, -50.80, 36.83, 0.00, 0 Ohm, RESC1608X55N
R48, -50.80, 34.29, 0.00, 0 Ohm, RESC1608X55N
R50, -50.80, 31.75, 0.00, 0 Ohm, RESC1608X55N
R52, -50.80, 29.21, 0.00, 0 Ohm, RESC1608X55N
R54, -50.80, 26.67, 0.00, 0 Ohm, RESC1608X55N
R62, -27.43, 17.02, 0.00, 191kohm, RESC0603X26N
R63, -31.37, 7.49, 180.00, 82kOhms, RESC1608X55N
R64, -24.51, 21.21, 90.00, 41 kOhms, RESC0603X28N
R65, -27.18, 18.67, 270.00, 41 kOhms, RESC0603X28N
R66, -30.99, 11.43, 270.00, 10 kOhms, RESC0402X15N
R67, -40.26, 10.29, 90.00, 10 kOhms, RESC0402X15N
R68, -49.15, 11.43, 90.00, 1 kohm, RESC0603X26N
R69, -50.55, 10.79, 90.00, 1 kohm, RESC0603X26N
R70, -20.96, 20.83, 180.00, 2.2 kOhms, RESC3225X70N
R71, -16.00, 20.83, 0.00, 2.2 kOhms, RESC3225X70N
RESET, -39.88, 17.40, 90.00, EVQ-Q2B03W, EVQQ2
USB, -7.57, 9.03, 90.00, MICRO-USB-SHIELD-ZX62R-B-5P, ZX62R-B-5P
VCC3.3_AN, -43.56, 9.27, 0.00, TPS73233DBVT, SOT95P280X145-5N
VCC3.3_DIG, -27.81, 21.84, 90.00, ADP7118ACPZN3.3-R7, SON65P200X200X65-7N
V_SWITCH, -56.00, 9.91, 0.00, SSSS810701, SSSS810701
