ADC1, -38.23, 34.16, 0.00, AD7771BCPZ, QFN50P900X900X80-65N
ADC2, -22.35, 34.16, 0.00, AD7771BCPZ, QFN50P900X900X80-65N
ADC3, -9.53, 39.50, 0.00, AD7771BCPZ, QFN50P900X900X80-65N
AGND_SELECT, -49.23, 16.10, 0.00, 219-3LPSTR, 2193LPSTR
AGND_SUB1.2V, -34.44, 12.42, 270.00, ISL21010DFH312Z-TK, SOT95P237X112-3N
BC832, -7.27, 6.43, 270.00, BC832, XCVR_BC832
C10, -26.26, 11.79, 0.00, 0.01uF, CAPC0603X33N
C19, -10.46, 21.69, 90.00, 2.2uF, CAPC0603X33N
C3, -13.11, 17.96, 90.00, 2.2uF, CAPC0603X33N
C5, -11.99, 18.01, 270.00, 1 uF, CAPC1005X33N
C55, -9.60, 16.97, 270.00, 10 uF, CAPC1608X100N
C56, -22.48, 7.16, 0.00, 10 uF, CAPC1608X100N
C57, -39.65, 10.34, 90.00, 0.01uF, CAPC0603X33N
C63, -17.65, 14.76, 0.00, 0.1 uF, CAPC0603X33N
C75, -31.12, 11.38, 90.00, 0.1 uF, CAPC0603X33N
C76, -17.63, 15.93, 0.00, 0.1 uF, CAPC0603X33N
C88, -34.59, 16.99, 180.00, 0.1 uF, CAPC0603X33N
CHARGER, -21.84, 10.77, 270.00, BQ24072TRGTR, QFN50P300X300X100-17N
CLOCK, -26.21, 9.14, 0.00, DSC1001DI5-008.1920T, DSC1001DI50081920T
IC1, -20.65, 18.44, 90.00, ADR4525ARZ, SOIC127P600X175-8N
J3, -4.72, 16.76, 90.00, 2040002-1, TE_2040002-1
LED1, -43.41, 7.39, 270.00, SML-P11MTT86R, LEDC1006X25N
LED2, -39.09, 17.32, 0.00, SML-P11MTT86R, LEDC1006X25N
LED3, -39.60, 6.27, 90.00, 150060RS75000, LEDC1608X80N
LED4, -39.22, 14.22, 0.00, 150060RS75000, LEDC1608X80N
R24, -19.05, 45.72, 270.00, 0 Ohm, RESC1608X55N
R25, -21.59, 45.72, 270.00, 0 Ohm, RESC1608X55N
R26, -24.13, 45.72, 270.00, 0 Ohm, RESC1608X55N
R27, -26.67, 45.72, 270.00, 0 Ohm, RESC1608X55N
R28, -29.21, 45.72, 270.00, 0 Ohm, RESC1608X55N
R29, -31.75, 45.72, 270.00, 0 Ohm, RESC1608X55N
R30, -34.29, 45.72, 270.00, 0 Ohm, RESC1608X55N
R31, -36.83, 45.72, 270.00, 0 Ohm, RESC1608X55N
R32, -39.37, 45.72, 270.00, 0 Ohm, RESC1608X55N
R33, -41.91, 45.72, 270.00, 0 Ohm, RESC1608X55N
R34, -44.45, 45.72, 270.00, 0 Ohm, RESC1608X55N
R35, -46.99, 45.72, 270.00, 0 Ohm, RESC1608X55N
R36, -49.53, 45.72, 270.00, 0 Ohm, RESC1608X55N
R37, -52.07, 45.72, 270.00, 0 Ohm, RESC1608X55N
R38, -54.61, 45.72, 270.00, 0 Ohm, RESC1608X55N
R39, -57.15, 45.72, 270.00, 0 Ohm, RESC1608X55N
R40, -50.80, 24.13, 0.00, 0 Ohm, RESC1608X55N
R41, -25.96, 5.31, 0.00, 1 kohm, RESC0603X26N
R42, -50.93, 42.04, 0.00, 0 Ohm, RESC1608X55N
R43, -26.04, 3.58, 0.00, 1 kohm, RESC0603X26N
R44, -50.80, 39.37, 0.00, 0 Ohm, RESC1608X55N
R45, -22.20, 3.07, 0.00, 0 Ohm, RESC1608X55N
R46, -50.80, 36.83, 0.00, 0 Ohm, RESC1608X55N
R47, -17.91, 3.05, 0.00, 0 Ohm, RESC1608X55N
R48, -50.80, 34.29, 0.00, 0 Ohm, RESC1608X55N
R49, -17.93, 5.31, 0.00, 0 Ohm, RESC1608X55N
R50, -50.80, 31.75, 0.00, 0 Ohm, RESC1608X55N
R51, -17.93, 7.26, 180.00, 0 Ohm, RESC1608X55N
R52, -50.80, 29.21, 0.00, 0 Ohm, RESC1608X55N
R54, -50.80, 26.67, 0.00, 0 Ohm, RESC1608X55N
R57, -17.68, 24.87, 0.00, 0 Ohm, RESC1608X55N
R62, -11.66, 16.36, 0.00, 200kohm, RESC0603X28N
R63, -22.25, 5.28, 180.00, 82kOhms, RESC1608X55N
R64, -9.37, 21.62, 90.00, 41.2 kOhms, RESC0603X28N
R65, -10.82, 18.03, 270.00, 41.2 kOhms, RESC0603X28N
R68, -45.87, 8.64, 90.00, 1kohm, RESC0603X26N
R69, -44.83, 8.64, 90.00, 1 kohm, RESC0603X26N
R70, -13.16, 14.45, 180.00, 2.2 kOhms, RESC1608X55N
R71, -13.13, 13.13, 180.00, 2.2 kOhms, RESC1608X55N
RESET, -27.33, 17.70, 90.00, EVQ-Q2B03W, EVQQ2
S1, -50.57, 8.26, 0.00, JS102011SAQN, JS102011SAQN
VCC3.3_AN, -35.33, 6.17, 0.00, TPS73233DBVT, SOT95P280X145-5N
VCC3.3_DIG, -12.73, 22.00, 90.00, ADP7118ACPZN3.3-R7, SON65P200X200X65-7N
