"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_POSITIONS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PRODUCT_TYPE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SUPPLIER";"TE_PURCHASE_URL";
"47";"0 Ohm";"CRCW06030000Z0EAC";"RESC1608X55N";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R42, R44, R46, R48, R50, R52, R54";"Thick Film Resistors - SMD";"";"";"";"";"";"";"";"Thick Film Resistors - SMD";"0.55mm";"Vishay";"CRCW06030000Z0EAC";"";"71-CRCW06030000Z0EAC";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW06030000Z0EAC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0.01uF";"GRM033R61E103MA12J";"CAPC0603X33N";"C5, C10, C57";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 0.01uF 25volts *Derate Voltage/Temp";"";"";"";"";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 0.01uF 25volts *Derate Voltage/Temp";"0.33mm";"Murata Electronics";"GRM033R61E103MA12J";"";"81-GRM033R61E103MA2J";"https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM033R61E103MA12J?qs=hNud%2FORuBR1kPmeKqdhtJA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23";"0.1 uF";"LMK063C6104KP-F";"CAPC0603X33N";"C20, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C77, C78, C79, C81, C82, C83, C84, C85, C86, C87";"0201 (0603M), 0402 (1005M) 100nF MLCC 10V dc +/-10% SMD LMK063C6104KP-F";"";"";"";"";"";"";"";"0201 (0603M), 0402 (1005M) 100nF MLCC 10V dc +/-10% SMD LMK063C6104KP-F";"0.33mm";"TAIYO YUDEN";"LMK063C6104KP-F";"";"963-LMK063C6104KP-F";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/LMK063C6104KP-F?qs=vF%252B8ahGVildHIKWi2d6PKQ%3D%3D";"";"";"";"";"";"";"";"";"";"1843409P";"http://uk.rs-online.com/web/p/products/1843409P";"";"";
"30";"1 uF";"JMK105BJ105MP-F";"CAPC1005X33N";"C1, C2, C4, C6, C7, C8, C9, C11, C12, C13, C14, C15, C16, C17, C18, C21, C24, C25, C26, C27, C28, C29, C30, C31, C32, C37, C38, C39, C40, C51";"Taiyo Yuden JMK105BJ105MP-F 1F MLCC 6.3V dc +/-20% Tolerance SMD";"";"";"";"";"";"";"";"Taiyo Yuden JMK105BJ105MP-F 1F MLCC 6.3V dc +/-20% Tolerance SMD";"0.33mm";"TAIYO YUDEN";"JMK105BJ105MP-F";"";"963-JMK105BJ105MP-F";"https://www.mouser.com/Search/Refine.aspx?Keyword=963-JMK105BJ105MP-F";"";"";"";"";"";"";"";"";"";"1843471";"https://uk.rs-online.com/web/p/products/1843471";"";"";
"2";"10 uF";"EMK107BBJ106MA-T";"CAPC1608X100N";"C55, C56";"TAIYO YUDEN - EMK107BBJ106MA-T - CAPACITOR, MLCC, X5R, 10UF, 16V, 0603, REEL";"";"";"";"";"";"";"";"TAIYO YUDEN - EMK107BBJ106MA-T - CAPACITOR, MLCC, X5R, 10UF, 16V, 0603, REEL";"1mm";"TAIYO YUDEN";"EMK107BBJ106MA-T";"";"963-EMK107BBJ106MA-T";"https://www.mouser.com/Search/Refine.aspx?Keyword=963-EMK107BBJ106MA-T";"";"";"";"";"";"";"";"";"";"1843904P";"http://uk.rs-online.com/web/p/products/1843904P";"";"";
"1";"1051";"1051";"1051";"U2";"Cylindrical Battery Contacts, Clips, Holders & Springs THM BATTERY HOLDER CR123A";"71135178";"https://www.alliedelec.com/keystoneelectronics-1051/71135178/";"";"";"";"";"";"Cylindrical Battery Contacts, Clips, Holders & Springs THM BATTERY HOLDER CR123A";"15.24mm";"Keystone Electronics";"1051";"";"534-1051";"https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1051?qs=wOxb8XianXhV6wGCGUD6gA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"150060RS75000";"150060RS75000";"LEDC1608X80N";"LED3, LED4";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"";"";"";"";"";"";"";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"0.8mm";"Wurth Elektronik";"150060RS75000";"";"710-150060RS75000";"https://www.mouser.com/Search/Refine.aspx?Keyword=710-150060RS75000";"";"";"";"";"";"";"";"";"";"8154203P";"http://uk.rs-online.com/web/p/products/8154203P";"";"";
"2";"2 kohm";"CR0201-JW-202GLF";"RESC0603X26N";"R43, R69";"Thick Film Resistors - SMD 2K 1% 250ppm";"";"";"";"";"";"";"";"Thick Film Resistors - SMD 2K 1% 250ppm";"0.26mm";"Bourns";"CR0201-JW-202GLF";"";"652-CR0201-JW-202GLF";"http://www.mouser.com/Search/ProductDetail.aspx?qs=W7X4MxMep48Rd1KolTqn4Q%3d%3d";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2 kohm";"CRCW02012K20JNED";"RESC0603X28N";"R51";"Thick Film Resistors - SMD 1/20watt 2.2Kohms 5% 200ppm";"";"";"CRCW02012K20JNED";"https://www.arrow.com/en/products/crcw02012k20jned/vishay";"";"";"";"Thick Film Resistors - SMD 1/20watt 2.2Kohms 5% 200ppm";"0.28mm";"Vishay";"CRCW02012K20JNED";"";"71-CRCW02012K20JNED";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW02012K20JNED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"2.2uF";"GRM033R60J225ME47D";"CAPC0603X33N";"C3, C19, C22, C23, C33";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 2.2uF 6.3volts";"";"";"";"";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 2.2uF 6.3volts";"0.33mm";"Murata Electronics";"GRM033R60J225ME47D";"";"81-GRM033R60J225ME7D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM033R60J225ME7D";"";"";"";"";"";"";"";"";"";"";"";"";"";
