C1, -14.12, 25.15, 270.00, 1 uF, CAPC1005X33N
C11, -13.11, 26.59, 90.00, 1 uF, CAPC1005X33N
C12, -22.99, 27.28, 90.00, 1 uF, CAPC1005X33N
C13, -36.96, 26.87, 90.00, 1 uF, CAPC1005X33N
C14, -8.15, 26.29, 270.00, 1 uF, CAPC1005X33N
C15, -28.73, 30.63, 180.00, 1 uF, CAPC1005X33N
C16, -11.58, 27.30, 0.00, 1 uF, CAPC1005X33N
C17, -12.04, 28.80, 90.00, 1 uF, CAPC1005X33N
C18, -42.88, 30.81, 180.00, 1 uF, CAPC1005X33N
C2, -13.08, 28.83, 90.00, 1 uF, CAPC1005X33N
C21, -10.29, 26.19, 180.00, 1 uF, CAPC1005X33N
C24, -26.39, 27.36, 0.00, 1 uF, CAPC1005X33N
C25, -28.02, 29.18, 90.00, 1 uF, CAPC1005X33N
C26, -28.02, 25.35, 270.00, 1 uF, CAPC1005X33N
C27, -24.77, 29.95, 0.00, 1 uF, CAPC1005X33N
C28, -28.02, 27.25, 90.00, 1 uF, CAPC1005X33N
C29, -24.51, 26.39, 180.00, 1 uF, CAPC1005X33N
C30, -26.80, 29.57, 90.00, 1 uF, CAPC1005X33N
C31, -42.14, 29.36, 90.00, 1 uF, CAPC1005X33N
C32, -42.29, 25.48, 270.00, 1 uF, CAPC1005X33N
C37, -42.14, 27.46, 90.00, 1 uF, CAPC1005X33N
C38, -38.86, 29.67, 0.00, 1 uF, CAPC1005X33N
C39, -40.64, 27.25, 0.00, 1 uF, CAPC1005X33N
C4, -8.15, 28.19, 90.00, 1 uF, CAPC1005X33N
C40, -40.89, 29.29, 90.00, 1 uF, CAPC1005X33N
C51, -38.61, 26.37, 180.00, 1 uF, CAPC1005X33N
C6, -22.99, 29.18, 90.00, 1 uF, CAPC1005X33N
C64, -24.64, 25.37, 180.00, 0.1 uF, CAPC0603X33N
C65, -14.40, 31.50, 0.00, 0.1 uF, CAPC0603X33N
C66, -14.10, 26.87, 90.00, 0.1 uF, CAPC0603X33N
C67, -40.64, 26.11, 0.00, 0.1 uF, CAPC0603X33N
C68, -14.15, 28.60, 90.00, 0.1 uF, CAPC0603X33N
C69, -11.46, 30.99, 0.00, 0.1 uF, CAPC0603X33N
C7, -13.13, 30.30, 180.00, 1 uF, CAPC1005X33N
C70, -10.24, 25.17, 180.00, 0.1 uF, CAPC0603X33N
C71, -24.89, 30.96, 0.00, 0.1 uF, CAPC0603X33N
C72, -26.57, 26.42, 0.00, 0.1 uF, CAPC0603X33N
C73, -26.29, 30.96, 0.00, 0.1 uF, CAPC0603X33N
C74, -28.55, 31.52, 0.00, 0.1 uF, CAPC0603X33N
C77, -29.03, 29.11, 90.00, 0.1 uF, CAPC0603X33N
C78, -29.06, 27.38, 90.00, 0.1 uF, CAPC0603X33N
C79, -11.73, 25.17, 0.00, 0.1 uF, CAPC0603X33N
C8, -9.55, 29.97, 0.00, 1 uF, CAPC1005X33N
C81, -9.55, 30.99, 0.00, 0.1 uF, CAPC0603X33N
C82, -40.64, 30.68, 0.00, 0.1 uF, CAPC0603X33N
C83, -38.73, 25.35, 180.00, 0.1 uF, CAPC0603X33N
C84, -43.10, 29.34, 90.00, 0.1 uF, CAPC0603X33N
C85, -43.08, 31.72, 0.00, 0.1 uF, CAPC0603X33N
C86, -43.05, 27.25, 90.00, 0.1 uF, CAPC0603X33N
C87, -38.73, 30.56, 0.00, 0.1 uF, CAPC0603X33N
C9, -37.08, 28.78, 90.00, 1 uF, CAPC1005X33N
ESD1, -46.66, 41.63, 90.00, TPD4E1B06DRLR, SOP50P160X60-6N
