time,,,,,,,
0.0,1594290879.7289596,12247,824,4261,32821,-38874,8003,
0.004,1594290879.7290285,1806,1505,3880,5944,-11084,12942,
0.008,1594290879.7290719,-107263,2956,3203,547022,-550775,28760,
0.012,1594290879.7291164,-297966,2912,3187,2000428,-2004471,34435,
0.016,1594290879.7291608,-79268,1321,4339,1410897,-1416648,20493,
0.02,1594290879.729205,12196,794,4272,35662,-41641,17984,
0.024,1594290879.729263,1864,1468,3904,6783,-11904,28027,
0.028,1594290879.729307,-108741,2941,3197,558409,-562192,52383,
0.032,1594290879.7293482,-292249,2834,3257,1980684,-1984748,57789,
0.036000000000000004,1594290879.729393,-76043,1318,4361,1398571,-1404308,35150,
0.04000000000000001,1594290879.7294364,12233,809,4271,37020,-43049,27262,
0.04400000000000001,1594290879.7294805,1952,1520,3876,6146,-11270,37961,
0.048000000000000015,1594290879.7295253,-107955,2981,3201,552804,-556577,61552,
0.05200000000000002,1594290879.7295697,-292558,2851,3255,1977336,-1981352,62823,
0.05600000000000002,1594290879.729615,-77147,1302,4389,1404408,-1410142,35365,
0.060000000000000026,1594290879.7296586,12194,796,4264,37185,-43166,25159,
0.06400000000000003,1594290879.7296991,1841,1490,3862,7627,-12749,31457,
0.06800000000000003,1594290879.729752,-107437,2960,3176,563948,-567710,48425,
0.07200000000000004,1594290879.7297928,-295986,2862,3216,2018686,-2022653,46134,
0.07600000000000004,1594290879.7298322,-78527,1310,4377,1430417,-1436137,21442,
0.08000000000000004,1594290879.7298703,12236,808,4240,39425,-45428,13300,
0.08400000000000005,1594290879.729907,1862,1481,3872,7520,-12609,14953,
0.08800000000000005,1594290879.7299445,-108128,2985,3132,561369,-565096,22876,
0.09200000000000005,1594290879.7299845,-294227,2869,3183,1988398,-1992366,19647,
0.09600000000000006,1594290879.7300227,-79227,1310,4368,1435305,-1441011,7711,
0.10000000000000006,1594290879.73006,12284,784,4257,40108,-46180,5163,
0.10400000000000006,1594290879.7301035,2131,1502,3855,6062,-11233,4613,
0.10800000000000007,1594290879.7301428,-106086,2953,3174,544193,-547928,5583,
0.11200000000000007,1594290879.7301912,-290765,2859,3201,1972938,-1976867,4111,
0.11600000000000008,1594290879.7302315,-78378,1316,4320,1399500,-1405292,723,
0.12000000000000008,1594290879.73027,12249,782,4261,36149,-42357,121,
0.12400000000000008,1594290879.7303078,1975,1510,3845,5847,-11165,-502,
0.12800000000000009,1594290879.7303464,-106584,3000,3153,558614,-562451,-863,
0.1320000000000001,1594290879.7303848,-292727,2895,3193,1989227,-1993314,-1621,
0.1360000000000001,1594290879.7304232,-77591,1347,4364,1422724,-1428679,-2905,
0.1400000000000001,1594290879.7304616,12197,821,4242,38813,-45129,-2635,
0.1440000000000001,1594290879.7304988,2119,1495,3869,4930,-10344,-3174,
0.1480000000000001,1594290879.7305381,-106122,2975,3179,543781,-547694,-3542,
0.1520000000000001,1594290879.730575,-294715,2887,3201,1988120,-1992251,-3796,
0.1560000000000001,1594290879.7306268,-79397,1331,4357,1409821,-1415867,-4209,
0.16000000000000011,1594290879.7306662,12186,789,4264,37352,-43743,-3528,
0.16400000000000012,1594290879.7307045,2153,1468,3902,5283,-10705,-3617,
0.16800000000000012,1594290879.7307434,-105221,2941,3185,544957,-548884,-3597,
0.17200000000000013,1594290879.7307806,-291071,2839,3248,1973532,-1977691,-3357,
0.17600000000000013,1594290879.7308185,-79510,1327,4352,1413950,-1419933,-3468,
0.18000000000000013,1594290879.7308588,12171,794,4249,37740,-44055,-2488,
0.18400000000000014,1594290879.730897,2168,1483,3853,5081,-10422,-2103,
0.18800000000000014,1594290879.7309341,-106898,2984,3157,554250,-558121,-1171,
0.19200000000000014,1594290879.7309816,-292643,2907,3185,1974985,-1979027,-422,
0.19600000000000015,1594290879.7310212,-78950,1349,4366,1422524,-1428386,-771,
0.20000000000000015,1594290879.7310607,12180,807,4276,40567,-46751,477,
0.20400000000000015,1594290879.7311127,2302,1472,3908,5479,-10702,1693,
0.20800000000000016,1594290879.7311528,-107200,2922,3202,543533,-547269,5014,
0.21200000000000016,1594290879.7311914,-300579,2828,3222,1984715,-1988683,6483,
0.21600000000000016,1594290879.7312295,-82261,1319,4358,1413972,-1419687,4558,
0.22000000000000017,1594290879.731268,12163,811,4233,40540,-46558,5623,
0.22400000000000017,1594290879.7313063,2253,1507,3848,4320,-9410,8981,
0.22800000000000017,1594290879.7313445,-105587,2946,3209,543825,-547597,20242,
0.23200000000000018,1594290879.7313828,-300172,2886,3221,2015049,-2019036,25506,
0.23600000000000018,1594290879.7314222,-84376,1329,4374,1465809,-1471548,15109,
0.24000000000000019,1594290879.7314603,12192,778,4271,44276,-50268,14053,
0.2440000000000002,1594290879.7314985,2331,1525,3883,4900,-10049,22460,
0.2480000000000002,1594290879.731546,-106548,2937,3177,532326,-536102,44603,
0.25200000000000017,1594290879.7315872,-297520,2851,3204,1954922,-1958952,51188,
0.25600000000000017,1594290879.7316256,-81781,1330,4344,1411041,-1416760,30947,
0.2600000000000002,1594290879.731664,12204,831,4231,39846,-45845,24714,
0.2640000000000002,1594290879.731703,2411,1476,3881,4909,-10045,35503,
0.2680000000000002,1594290879.7317412,-105464,2983,3177,544685,-548423,60678,
0.2720000000000002,1594290879.7317784,-294766,2903,3206,1988223,-1992233,64301,
0.2760000000000002,1594290879.7318172,-81731,1312,4387,1440930,-1446665,37665,
0.2800000000000002,1594290879.7318542,12214,792,4289,41319,-47315,26691,
0.2840000000000002,1594290879.731892,2613,1468,3921,3088,-8218,34831,
0.2880000000000002,1594290879.731931,-104571,2931,3213,522296,-526053,55022,
0.2920000000000002,1594290879.7319686,-297820,2854,3200,1962044,-1966047,54105,
0.2960000000000002,1594290879.732019,-82357,1356,4365,1408751,-1414473,27463,
0.3000000000000002,1594290879.7320585,12154,822,4250,38820,-44788,17206,
0.3040000000000002,1594290879.732097,2697,1487,3899,2989,-8115,20195,
0.3080000000000002,1594290879.732135,-104546,2919,3219,515050,-518815,31049,
0.3120000000000002,1594290879.7321737,-296698,2841,3240,1944022,-1948040,28434,
0.3160000000000002,1594290879.732212,-82065,1341,4350,1399181,-1404869,11664,
0.32000000000000023,1594290879.7322507,12156,826,4280,40897,-46901,7504,
0.32400000000000023,1594290879.7322888,2620,1492,3864,4266,-9393,7399,
0.32800000000000024,1594290879.732327,-105120,2922,3222,528903,-532626,9902,
0.33200000000000024,1594290879.7323656,-302777,2845,3233,1976884,-1980800,7836,
0.33600000000000024,1594290879.732404,-86482,1302,4379,1449234,-1454981,2620,
0.34000000000000025,1594290879.7324743,12210,804,4270,44820,-50983,1487,
0.34400000000000025,1594290879.7325325,2599,1463,3855,4662,-9896,866,
0.34800000000000025,1594290879.732571,-102537,2953,3174,531973,-535768,840,
0.35200000000000026,1594290879.7326188,-292584,2874,3247,1962333,-1966393,-173,
0.35600000000000026,1594290879.7326589,-81403,1386,4375,1430152,-1436123,-1909,
0.36000000000000026,1594290879.7327273,12197,831,4260,42403,-48746,-1947,
0.36400000000000027,1594290879.732794,2500,1516,3875,4101,-9557,-2485,
0.36800000000000027,1594290879.7328334,-101164,2949,3198,518753,-522699,-2941,
0.3720000000000003,1594290879.7328722,-286990,2898,3223,1925488,-1929567,-3289,
0.3760000000000003,1594290879.7329109,-80429,1380,4354,1422147,-1428149,-3936,
0.3800000000000003,1594290879.7329497,12185,820,4267,42402,-48791,-3456,
0.3840000000000003,1594290879.7329872,2728,1452,3890,3616,-9058,-3745,
0.3880000000000003,1594290879.7330375,-101877,2930,3228,531774,-535695,-3894,
0.3920000000000003,1594290879.7330766,-287002,2872,3244,1940204,-1944337,-3748,
0.3960000000000003,1594290879.7331147,-80141,1350,4352,1421090,-1427119,-3956,
0.4000000000000003,1594290879.7331529,12191,798,4258,42461,-48861,-3068,
0.4040000000000003,1594290879.7331936,2766,1467,3877,2583,-8014,-2856,
0.4080000000000003,1594290879.7332308,-103997,2958,3208,531543,-535481,-2390,
0.4120000000000003,1594290879.7332683,-293523,2916,3216,1963852,-1967915,-1835,
0.4160000000000003,1594290879.733306,-81251,1387,4337,1433138,-1439039,-1938,
0.4200000000000003,1594290879.733349,12197,815,4301,44771,-51048,-783,
0.4240000000000003,1594290879.7333877,2824,1472,3907,2440,-7774,24,
0.4280000000000003,1594290879.7334254,-102093,2942,3205,511206,-514994,2098,
0.43200000000000033,1594290879.7334864,-294480,2871,3216,1946385,-1950359,3419,
0.43600000000000033,1594290879.7335746,-82201,1348,4350,1401006,-1406756,2374,
0.44000000000000034,1594290879.7336152,12125,798,4259,39631,-45734,3487,
0.44400000000000034,1594290879.7336528,2670,1461,3873,3667,-8824,5807,
0.44800000000000034,1594290879.733692,-102871,2908,3216,528973,-532666,13624,
0.45200000000000035,1594290879.733729,-298644,2879,3221,1987468,-1991402,17003,
0.45600000000000035,1594290879.7337677,-85741,1337,4358,1463383,-1469047,10458,
0.46000000000000035,1594290879.7338047,12137,776,4315,46587,-52590,10452,
0.46400000000000036,1594290879.733844,2813,1453,3923,4373,-9524,16795,
0.46800000000000036,1594290879.733882,-100767,2921,3237,531104,-534890,35791,
0.47200000000000036,1594290879.7339184,-292361,2901,3183,1959973,-1963929,43290,
0.47600000000000037,1594290879.7339792,-85113,1338,4378,1461408,-1467120,26004,
0.48000000000000037,1594290879.7340186,12102,822,4283,46536,-52539,21778,
0.4840000000000004,1594290879.7340586,2709,1471,3912,3712,-8858,33053,
0.4880000000000004,1594290879.734096,-103457,2898,3231,531927,-535711,56965,
0.4920000000000004,1594290879.7341359,-296338,2858,3222,1958351,-1962335,62245,
0.4960000000000004,1594290879.7341738,-85334,1359,4356,1450363,-1456059,37489,
0.5000000000000003,1594290879.7342134,12205,775,4304,47043,-53069,28005,
0.5040000000000003,1594290879.7342513,2929,1433,3924,2588,-7775,36631,
0.5080000000000003,1594290879.7343063,-102916,2959,3166,524916,-528717,59292,
0.5120000000000003,1594290879.734346,-293221,2862,3215,1941419,-1945447,59432,
0.5160000000000003,1594290879.734384,-83288,1361,4346,1438439,-1444151,32866,
0.5200000000000004,1594290879.7344222,12119,842,4271,47855,-53854,21173,
0.5240000000000004,1594290879.7344599,2922,1472,3920,3006,-8126,26167,
0.5280000000000004,1594290879.7344978,-102659,2957,3211,537630,-541421,41245,
0.5320000000000004,1594290879.7345364,-295002,2909,3231,1978402,-1982432,37997,
0.5360000000000004,1594290879.7345738,-85309,1375,4372,1458642,-1464341,16881,
0.5400000000000004,1594290879.7346127,12151,820,4307,45992,-52028,10402,
0.5440000000000004,1594290879.734651,2984,1472,3911,2821,-7968,10904,
0.5480000000000004,1594290879.7346897,-102852,2934,3175,513190,-516913,16029,
0.5520000000000004,1594290879.7347283,-305920,2929,3185,1978841,-1982771,13489,
