time,,,,,,,
0.0,1597409846.6486669,3958309,-46423,-5458732,2339,-7118,935,
0.004,1597409846.64873,4010797,-55229,-5450144,2040,-6832,952,
0.008,1597409846.648773,5496247,-63233,-5442151,2171,-7096,934,
0.012,1597409846.6488168,5526791,-70260,-5434855,2210,-7242,897,
0.016,1597409846.6488707,5447075,-76220,-5428734,2217,-7197,953,
0.02,1597409846.648919,3919564,-81082,-5424109,2308,-7188,951,
0.024,1597409846.6489635,3991972,-84737,-5420696,1994,-6788,1024,
0.028,1597409846.6490057,5495403,-87135,-5418197,2177,-7114,930,
0.032,1597409846.6490471,5526956,-88187,-5416999,2212,-7197,901,
0.036000000000000004,1597409846.6490896,5446319,-87898,-5417076,2190,-7124,994,
0.04000000000000001,1597409846.649134,3947944,-86271,-5418884,2373,-7131,900,
0.04400000000000001,1597409846.6491773,3985570,-83384,-5422100,2062,-6796,987,
0.048000000000000015,1597409846.6492202,5494430,-79208,-5426085,2163,-7078,911,
0.05200000000000002,1597409846.6492634,5527019,-73874,-5431249,2190,-7172,874,
0.05600000000000002,1597409846.6493077,5449188,-67389,-5437508,2153,-7193,939,
0.060000000000000026,1597409846.6493595,3935742,-59925,-5445137,2336,-7144,957,
0.06400000000000003,1597409846.649402,3977070,-51593,-5453762,2043,-6786,1025,
0.06800000000000003,1597409846.6494431,5494647,-42541,-5462696,2210,-7162,900,
0.07200000000000004,1597409846.6494813,5527606,-32830,-5472449,2211,-7164,898,
0.07600000000000004,1597409846.6495209,5447301,-22676,-5482198,2219,-7228,974,
0.08000000000000004,1597409846.6495578,3937006,-12248,-5492838,2341,-7141,947,
0.08400000000000005,1597409846.6495965,4037804,-1686,-5503682,2007,-6776,986,
0.08800000000000005,1597409846.6496341,5500653,8840,-5514125,2175,-7192,919,
0.09200000000000005,1597409846.6496716,5527587,19210,-5524427,2255,-7249,912,
0.09600000000000006,1597409846.6497083,5448994,29222,-5534091,2257,-7197,897,
0.10000000000000006,1597409846.6497471,3946775,38695,-5543731,2334,-7184,974,
0.10400000000000006,1597409846.6497838,3978667,47479,-5552819,2035,-6840,988,
0.10800000000000007,1597409846.6498358,5492962,55456,-5560751,2222,-7147,948,
0.11200000000000007,1597409846.6498744,5528017,62490,-5567712,2223,-7202,932,
0.11600000000000008,1597409846.6499112,5451356,68496,-5573410,2255,-7162,959,
0.12000000000000008,1597409846.64995,3965813,73374,-5578300,2324,-7203,954,
0.12400000000000008,1597409846.6499887,3971578,76997,-5582308,2059,-6866,1008,
0.12800000000000009,1597409846.6500251,5492539,79364,-5584579,2192,-7256,927,
0.1320000000000001,1597409846.6500626,5527335,80406,-5585629,2281,-7256,919,
0.1360000000000001,1597409846.6501012,5450602,80161,-5585103,2265,-7136,918,
0.1400000000000001,1597409846.650138,3938775,78555,-5583676,2352,-7201,957,
0.1440000000000001,1597409846.650176,3941786,75672,-5581001,1985,-6829,973,
0.1480000000000001,1597409846.6502123,5489396,71509,-5576669,2154,-7226,886,
0.1520000000000001,1597409846.6502612,5526612,66181,-5571375,2202,-7271,920,
0.1560000000000001,1597409846.6502993,5447236,59760,-5564639,2254,-7258,920,
0.16000000000000011,1597409846.650338,3943043,52316,-5557434,2396,-7148,933,
0.16400000000000012,1597409846.6503754,3980308,43975,-5549307,2037,-6823,945,
