time,,,,,,,
0.0,1595935540.5554044,-174577,-8388608,-8388608,-8388608,-8388608,-8388608,
0.004,1595935540.5555415,69148,-8388608,-8388608,-8388608,-8388608,-8388608,
0.008,1595935540.5557036,312013,-8388608,-8388608,-8388608,-8388608,-8388608,
0.012,1595935540.555811,550319,-8388608,-8388608,-8388608,-8388608,-8388608,
0.016,1595935540.5559185,779687,-8388608,-8388608,-8388608,-8388608,-8388608,
0.02,1595935540.5560524,996610,-8388608,-8388608,-8388608,-8388608,-8388608,
0.024,1595935540.5561616,1196956,-8388608,-8388608,-8388608,-8388608,-8388608,
0.028,1595935540.556274,1379188,-8388608,-8388608,-8388608,-8388608,-8388608,
0.032,1595935540.5563982,1539079,-8388608,-8388608,-8388608,-8388608,-8388608,
0.036000000000000004,1595935540.556515,1674805,-8388608,-8388608,-8388608,-8388608,-8388608,
0.04000000000000001,1595935540.5566163,1783890,-8388608,-8388608,-8388608,-8388608,-8388608,
0.04400000000000001,1595935540.5567203,1863796,-8388608,-8388608,-8388608,-8388608,-8388608,
0.048000000000000015,1595935540.5568182,1914554,-8388608,-8388608,-8388608,-8388608,-8388608,
0.05200000000000002,1595935540.5569217,1935061,-8388608,-8388608,-8388608,-8388608,-8388608,
0.05600000000000002,1595935540.5570436,1924783,-8388608,-8388608,-8388608,-8388608,-8388608,
0.060000000000000026,1595935540.557144,1884568,-8388608,-8388608,-8388608,-8388608,-8388608,
0.06400000000000003,1595935540.557235,1814351,-8388608,-8388608,-8388608,-8388608,-8388608,
0.06800000000000003,1595935540.5573282,1714446,-8388608,-8388608,-8388608,-8388608,-8388608,
0.07200000000000004,1595935540.5574162,1587314,-8388608,-8388608,-8388608,-8388608,-8388608,
0.07600000000000004,1595935540.5575213,1435293,-8388608,-8388608,-8388608,-8388608,-8388608,
0.08000000000000004,1595935540.5576065,1260677,-8388608,-8388608,-8388608,-8388608,-8388608,
0.08400000000000005,1595935540.5576878,1065900,-8388608,-8388608,-8388608,-8388608,-8388608,
0.08800000000000005,1595935540.5577753,853911,-8388608,-8388608,-8388608,-8388608,-8388608,
0.09200000000000005,1595935540.5578575,628368,-8388608,-8388608,-8388608,-8388608,-8388608,
0.09600000000000006,1595935540.5579433,392936,-8388608,-8388608,-8388608,-8388608,-8388608,
0.10000000000000006,1595935540.5580287,150609,-8388608,-8388608,-8388608,-8388608,-8388608,
0.10400000000000006,1595935540.558149,-92952,-8388608,-8388608,-8388608,-8388608,-8388608,
0.10800000000000007,1595935540.5582283,-335881,-8388608,-8388608,-8388608,-8388608,-8388608,
0.11200000000000007,1595935540.5583029,-573632,-8388608,-8388608,-8388608,-8388608,-8388608,
0.11600000000000008,1595935540.5583954,-802799,-8388608,-8388608,-8388608,-8388608,-8388608,
0.12000000000000008,1595935540.5584815,-1020205,-8388608,-8388608,-8388608,-8388608,-8388608,
0.12400000000000008,1595935540.558561,-1221008,-8388608,-8388608,-8388608,-8388608,-8388608,
0.12800000000000009,1595935540.5586343,-1403153,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1320000000000001,1595935540.558707,-1563118,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1360000000000001,1595935540.5587852,-1698778,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1400000000000001,1595935540.5588582,-1808327,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1440000000000001,1595935540.5589314,-1888861,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1480000000000001,1595935540.5590327,-1939990,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1520000000000001,1595935540.5591085,-1960615,-8388608,-8388608,-8388608,-8388608,-8388608,
0.1560000000000001,1595935540.5591843,-1950250,-8388608,-8388608,-8388608,-8388608,-8388608,
0.16000000000000011,1595935540.559258,-1909717,-8388608,-8388608,-8388608,-8388608,-8388608,
0.16400000000000012,1595935540.5593338,-1838414,-8388608,-8388608,-8388608,-8388608,-8388608,
0.16800000000000012,1595935540.5594106,-1739155,-8388608,-8388608,-8388608,-8388608,-8388608,
0.17200000000000013,1595935540.5594864,-1612432,-8388608,-8388608,-8388608,-8388608,-8388608,
0.17600000000000013,1595935540.5595593,-1460839,-8388608,-8388608,-8388608,-8388608,-8388608,
0.18000000000000013,1595935540.5596528,-1286341,-8388608,-8388608,-8388608,-8388608,-8388608,
0.18400000000000014,1595935540.5597386,-1091493,-8388608,-8388608,-8388608,-8388608,-8388608,
0.18800000000000014,1595935540.5598216,-879954,-8388608,-8388608,-8388608,-8388608,-8388608,
0.19200000000000014,1595935540.5599053,-653935,-8388608,-8388608,-8388608,-8388608,-8388608,
0.19600000000000015,1595935540.560017,-418658,-8388608,-8388608,-8388608,-8388608,-8388608,
0.20000000000000015,1595935540.5601044,-177480,-8388608,-8388608,-8388608,-8388608,-8388608,
0.20400000000000015,1595935540.5601895,66175,-8388608,-8388608,-8388608,-8388608,-8388608,
0.20800000000000016,1595935540.5602767,309315,-8388608,-8388608,-8388608,-8388608,-8388608,
0.21200000000000016,1595935540.5603926,547614,-8388608,-8388608,-8388608,-8388608,-8388608,
0.21600000000000016,1595935540.5604756,776804,-8388608,-8388608,-8388608,-8388608,-8388608,
0.22000000000000017,1595935540.560558,994002,-8388608,-8388608,-8388608,-8388608,-8388608,
0.22400000000000017,1595935540.5606496,1194290,-8388608,-8388608,-8388608,-8388608,-8388608,
0.22800000000000017,1595935540.5607324,1376841,-8388608,-8388608,-8388608,-8388608,-8388608,
0.23200000000000018,1595935540.560816,1537330,-8388608,-8388608,-8388608,-8388608,-8388608,
0.23600000000000018,1595935540.5608985,1672973,-8388608,-8388608,-8388608,-8388608,-8388608,
0.24000000000000019,1595935540.561014,1782201,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2440000000000002,1595935540.5611012,1862770,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2480000000000002,1595935540.561195,1914462,-8388608,-8388608,-8388608,-8388608,-8388608,
0.25200000000000017,1595935540.561271,1934886,-8388608,-8388608,-8388608,-8388608,-8388608,
0.25600000000000017,1595935540.5613444,1925178,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2600000000000002,1595935540.561421,1885168,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2640000000000002,1595935540.5614958,1815061,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2680000000000002,1595935540.5615726,1715959,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2720000000000002,1595935540.5616457,1589627,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2760000000000002,1595935540.5617208,1437589,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2800000000000002,1595935540.5617993,1263069,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2840000000000002,1595935540.5618718,1068565,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2880000000000002,1595935540.561973,856612,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2920000000000002,1595935540.5620537,631281,-8388608,-8388608,-8388608,-8388608,-8388608,
0.2960000000000002,1595935540.5621295,395657,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3000000000000002,1595935540.5622034,153702,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3040000000000002,1595935540.562281,-90209,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3080000000000002,1595935540.5623558,-333032,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3120000000000002,1595935540.562431,-571023,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3160000000000002,1595935540.5625045,-800331,-8388608,-8388608,-8388608,-8388608,-8388608,
0.32000000000000023,1595935540.562582,-1017842,-8388608,-8388608,-8388608,-8388608,-8388608,
0.32400000000000023,1595935540.562656,-1218726,-8388608,-8388608,-8388608,-8388608,-8388608,
0.32800000000000024,1595935540.5627334,-1401556,-8388608,-8388608,-8388608,-8388608,-8388608,
0.33200000000000024,1595935540.562833,-1562184,-8388608,-8388608,-8388608,-8388608,-8388608,
0.33600000000000024,1595935540.5629125,-1697927,-8388608,-8388608,-8388608,-8388608,-8388608,
0.34000000000000025,1595935540.5629911,-1807628,-8388608,-8388608,-8388608,-8388608,-8388608,
0.34400000000000025,1595935540.563064,-1888430,-8388608,-8388608,-8388608,-8388608,-8388608,
0.34800000000000025,1595935540.563139,-1939429,-8388608,-8388608,-8388608,-8388608,-8388608,
0.35200000000000026,1595935540.563216,-1960487,-8388608,-8388608,-8388608,-8388608,-8388608,
0.35600000000000026,1595935540.5632913,-1950470,-8388608,-8388608,-8388608,-8388608,-8388608,
0.36000000000000026,1595935540.5634577,-1910753,-8388608,-8388608,-8388608,-8388608,-8388608,
0.36400000000000027,1595935540.5635383,-1840358,-8388608,-8388608,-8388608,-8388608,-8388608,
0.36800000000000027,1595935540.5636134,-1741423,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3720000000000003,1595935540.5636928,-1614701,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3760000000000003,1595935540.5638058,-1462793,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3800000000000003,1595935540.5638978,-1288587,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3840000000000003,1595935540.5639749,-1094323,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3880000000000003,1595935540.564052,-882879,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3920000000000003,1595935540.5641398,-657397,-8388608,-8388608,-8388608,-8388608,-8388608,
0.3960000000000003,1595935540.564226,-422550,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4000000000000003,1595935540.5643146,-181333,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4040000000000003,1595935540.5644202,62450,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4080000000000003,1595935540.5644958,305535,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4120000000000003,1595935540.564571,544418,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4160000000000003,1595935540.564649,773984,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4200000000000003,1595935540.5647237,991205,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4240000000000003,1595935540.5648196,1191757,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4280000000000003,1595935540.564897,1374381,-8388608,-8388608,-8388608,-8388608,-8388608,
0.43200000000000033,1595935540.5649748,1534658,-8388608,-8388608,-8388608,-8388608,-8388608,
0.43600000000000033,1595935540.5650506,1670688,-8388608,-8388608,-8388608,-8388608,-8388608,
0.44000000000000034,1595935540.5651288,1780471,-8388608,-8388608,-8388608,-8388608,-8388608,
0.44400000000000034,1595935540.5652022,1861165,-8388608,-8388608,-8388608,-8388608,-8388608,
0.44800000000000034,1595935540.5652795,1913068,-8388608,-8388608,-8388608,-8388608,-8388608,
0.45200000000000035,1595935540.5653532,1934308,-8388608,-8388608,-8388608,-8388608,-8388608,
0.45600000000000035,1595935540.5654287,1925042,-8388608,-8388608,-8388608,-8388608,-8388608,
0.46000000000000035,1595935540.5655067,1885303,-8388608,-8388608,-8388608,-8388608,-8388608,
0.46400000000000036,1595935540.5655837,1815403,-8388608,-8388608,-8388608,-8388608,-8388608,
0.46800000000000036,1595935540.5656574,1716708,-8388608,-8388608,-8388608,-8388608,-8388608,
0.47200000000000036,1595935540.5657544,1590223,-8388608,-8388608,-8388608,-8388608,-8388608,
0.47600000000000037,1595935540.5658336,1438162,-8388608,-8388608,-8388608,-8388608,-8388608,
0.48000000000000037,1595935540.5659108,1263534,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4840000000000004,1595935540.5659888,1070040,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4880000000000004,1595935540.5660653,859088,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4920000000000004,1595935540.5661414,633369,-8388608,-8388608,-8388608,-8388608,-8388608,
0.4960000000000004,1595935540.5662153,397820,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5000000000000003,1595935540.566294,156066,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5040000000000003,1595935540.5663674,-87466,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5080000000000003,1595935540.566441,-330249,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5120000000000003,1595935540.566515,-568977,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5160000000000003,1595935540.5665889,-798500,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5200000000000004,1595935540.5666633,-1016143,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5240000000000004,1595935540.5667374,-1217367,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5280000000000004,1595935540.566833,-1399989,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5320000000000004,1595935540.5669296,-1560264,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5360000000000004,1595935540.567004,-1696377,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5400000000000004,1595935540.567078,-1806271,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5440000000000004,1595935540.567152,-1887283,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5480000000000004,1595935540.567229,-1939017,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5520000000000004,1595935540.5673046,-1960305,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5560000000000004,1595935540.567378,-1950740,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5600000000000004,1595935540.5674777,-1911145,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5640000000000004,1595935540.567556,-1841245,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5680000000000004,1595935540.5676348,-1742929,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5720000000000004,1595935540.5677087,-1616756,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5760000000000004,1595935540.5677845,-1465196,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5800000000000004,1595935540.5678596,-1291561,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5840000000000004,1595935540.5679357,-1096812,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5880000000000004,1595935540.5680118,-885219,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5920000000000004,1595935540.5680885,-660247,-8388608,-8388608,-8388608,-8388608,-8388608,
0.5960000000000004,1595935540.5681674,-425073,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6000000000000004,1595935540.568241,-184056,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6040000000000004,1595935540.5683513,59529,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6080000000000004,1595935540.5684316,302171,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6120000000000004,1595935540.5685081,540979,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6160000000000004,1595935540.568582,770473,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6200000000000004,1595935540.5686595,988207,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6240000000000004,1595935540.5687335,1189445,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6280000000000004,1595935540.5688095,1371944,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6320000000000005,1595935540.5688837,1533011,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6360000000000005,1595935540.5689578,1669413,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6400000000000005,1595935540.5690434,1779221,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6440000000000005,1595935540.5691187,1860356,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6480000000000005,1595935540.5691931,1912485,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6520000000000005,1595935540.5692923,1934366,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6560000000000005,1595935540.5693698,1924968,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6600000000000005,1595935540.5694458,1885676,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6640000000000005,1595935540.569524,1815603,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6680000000000005,1595935540.5695984,1717095,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6720000000000005,1595935540.5696764,1591543,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6760000000000005,1595935540.5697503,1440664,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6800000000000005,1595935540.569827,1266959,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6840000000000005,1595935540.5699053,1072750,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6880000000000005,1595935540.569979,861825,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6920000000000005,1595935540.570057,636647,-8388608,-8388608,-8388608,-8388608,-8388608,
0.6960000000000005,1595935540.5701516,401171,-8388608,-8388608,-8388608,-8388608,-8388608,
0.7000000000000005,1595935540.5702326,159091,-8388608,-8388608,-8388608,-8388608,-8388608,
0.7040000000000005,1595935540.5703099,-84983,-8388608,-8388608,-8388608,-8388608,-8388608,
0.7080000000000005,1595935540.570384,-327521,-8388608,-8388608,-8388608,-8388608,-8388608,
0.7120000000000005,1595935540.570462,-565880,-8388608,-8388608,-8388608,-8388608,-8388608,
0.7160000000000005,1595935540.5706043,-795365,-8388608,-8388608,-8388608,-8388608,-8388608,
