time,,,,,,,
0.0,1600778940.5396137,-76570,-6419136,-6378107,-6429297,-6429833,-6440303,
0.004,1600778940.5396955,-72298,-6137190,-6098388,-6151116,-6151636,-6161653,
0.008,1600778940.539739,-79006,-6865806,-6807644,-6889831,-6890415,-6901603,
0.012,1600778940.539793,-84162,-7564994,-7493283,-7593870,-7594493,-7606856,
0.016,1600778940.5398624,-77006,-7313170,-7258682,-7326677,-7327325,-7339222,
0.02,1600778940.5399141,-61788,-6502658,-6475065,-6513128,-6513630,-6524208,
0.024,1600778940.5399592,-52295,-6268147,-6227295,-6283386,-6283934,-6294087,
0.028,1600778940.5400164,-51866,-6868059,-6808805,-6891454,-6892051,-6903238,
0.032,1600778940.540107,-49947,-7433841,-7368256,-7456774,-7457508,-7469561,
0.036000000000000004,1600778940.540169,-38048,-7230803,-7169184,-7247501,-7248134,-7259863,
0.04000000000000001,1600778940.5402157,-20437,-6583576,-6540661,-6597353,-6597993,-6608639,
0.04400000000000001,1600778940.5402648,-8013,-6397901,-6353393,-6412999,-6413643,-6424005,
0.048000000000000015,1600778940.54031,-3332,-6867832,-6812163,-6888016,-6888653,-6899827,
0.05200000000000002,1600778940.5403721,2028,-7314828,-7253606,-7334975,-7335697,-7347564,
0.05600000000000002,1600778940.5404186,14715,-7150626,-7097831,-7167259,-7167900,-7179582,
0.060000000000000026,1600778940.5404613,30857,-6660188,-6616807,-6676191,-6676801,-6687618,
0.06400000000000003,1600778940.5405164,42085,-6509923,-6458555,-6527066,-6527680,-6538240,
0.06800000000000003,1600778940.5405629,46676,-6869414,-6812264,-6890532,-6891184,-6902336,
0.07200000000000004,1600778940.5406024,51034,-7205009,-7147279,-7225927,-7226649,-7238342,
0.07600000000000004,1600778940.5406418,60347,-7080941,-7015143,-7099154,-7099766,-7111333,
0.08000000000000004,1600778940.54068,72594,-6715305,-6658770,-6734972,-6735538,-6746492,
0.08400000000000005,1600778940.540717,79811,-6619880,-6557597,-6636290,-6636903,-6647675,
0.08800000000000005,1600778940.5407543,81463,-6873073,-6819066,-6890721,-6891321,-6902503,
0.09200000000000005,1600778940.5407944,82108,-7113064,-7060796,-7131414,-7132077,-7143621,
0.09600000000000006,1600778940.5408323,84856,-7026631,-6973887,-7045221,-7045961,-7057342,
0.10000000000000006,1600778940.5408704,87926,-6769116,-6721537,-6786248,-6786962,-6797871,
0.10400000000000006,1600778940.5409083,88121,-6704663,-6655416,-6720800,-6721479,-6732354,
0.10800000000000007,1600778940.5409608,83945,-6871863,-6820163,-6889564,-6890302,-6901421,
0.11200000000000007,1600778940.5410008,78761,-7037461,-6985365,-7053519,-7054282,-7065716,
0.11600000000000008,1600778940.5410388,75009,-6976861,-6923005,-6994130,-6994908,-7006152,
0.12000000000000008,1600778940.541078,71226,-6812024,-6759033,-6831099,-6831842,-6842895,
0.12400000000000008,1600778940.5411165,64925,-6763832,-6710490,-6780886,-6781589,-6792625,
0.12800000000000009,1600778940.5411534,55821,-6886792,-6835134,-6900815,-6901596,-6912746,
0.1320000000000001,1600778940.5411923,46084,-6976242,-6928419,-6989093,-6989779,-7001092,
0.1360000000000001,1600778940.5412295,37268,-6942029,-6888384,-6959005,-6959778,-6971023,
0.1400000000000001,1600778940.541267,28509,-6848717,-6797312,-6867825,-6868584,-6879678,
0.1440000000000001,1600778940.541305,18306,-6821869,-6770085,-6838187,-6839007,-6850041,
0.1480000000000001,1600778940.5413432,6802,-6878313,-6823735,-6896313,-6897134,-6908250,
0.1520000000000001,1600778940.5413814,-4814,-6926315,-6876637,-6940768,-6941544,-6952743,
0.1560000000000001,1600778940.5414305,-15136,-6911887,-6853583,-6928555,-6929327,-6940480,
0.16000000000000011,1600778940.5414715,-24466,-6876098,-6815380,-6895894,-6896645,-6907769,
0.16400000000000012,1600778940.541509,-33444,-6867466,-6800605,-6885005,-6885869,-6896877,
0.16800000000000012,1600778940.5415466,-42680,-6876174,-6826999,-6892424,-6893161,-6904301,
0.17200000000000013,1600778940.541586,-51082,-6894820,-6851115,-6910540,-6911291,-6922363,
0.17600000000000013,1600778940.5416236,-58907,-6885878,-6836158,-6903365,-6904169,-6915311,
0.18000000000000013,1600778940.5416615,-66506,-6893537,-6842585,-6911908,-6912693,-6923917,
0.18400000000000014,1600778940.5417,-72355,-6899859,-6852047,-6914925,-6915641,-6926895,
0.18800000000000014,1600778940.5417378,-76736,-6883683,-6838025,-6897276,-6898018,-6909147,
0.19200000000000014,1600778940.541776,-79820,-6863311,-6822432,-6876890,-6877602,-6888700,
0.19600000000000015,1600778940.541814,-81796,-6875537,-6829145,-6891448,-6892196,-6903273,
0.20000000000000015,1600778940.5418649,-82968,-6903340,-6852450,-6921945,-6922719,-6933821,
0.20400000000000015,1600778940.541904,-82503,-6919444,-6869236,-6934275,-6935072,-6946143,
0.20800000000000016,1600778940.541943,-80126,-6887917,-6841110,-6900485,-6901270,-6912258,
0.21200000000000016,1600778940.5419812,-76340,-6848305,-6804403,-6860208,-6861019,-6871937,
0.21600000000000016,1600778940.5420194,-71944,-6867431,-6816294,-6883606,-6884426,-6895503,
0.22000000000000017,1600778940.5420573,-67001,-6917852,-6867916,-6935127,-6936040,-6947127,
0.22400000000000017,1600778940.5420947,-60674,-6931617,-6876518,-6946795,-6947610,-6958770,
0.22800000000000017,1600778940.5421343,-52650,-6888742,-6837368,-6903651,-6904528,-6915559,
0.23200000000000018,1600778940.5421724,-43714,-6842083,-6795084,-6854861,-6855752,-6866750,
0.23600000000000018,1600778940.54221,-34644,-6853558,-6791404,-6870086,-6870987,-6881903,
0.24000000000000019,1600778940.5422478,-24552,-6917676,-6859399,-6936607,-6937565,-6948594,
0.2440000000000002,1600778940.5422964,-14175,-6933065,-6874400,-6948661,-6949609,-6960634,
0.2480000000000002,1600778940.542336,-2634,-6889048,-6838514,-6902250,-6903138,-6914189,
0.25200000000000017,1600778940.5423741,8817,-6837306,-6792169,-6854283,-6855174,-6866146,
0.25600000000000017,1600778940.5424123,18539,-6856623,-6807131,-6871275,-6872212,-6883255,
0.2600000000000002,1600778940.5424504,27514,-6921274,-6874626,-6936593,-6937539,-6948589,
0.2640000000000002,1600778940.5424929,37126,-6943214,-6893220,-6957224,-6958180,-6969274,
0.2680000000000002,1600778940.542531,47121,-6888000,-6838652,-6902350,-6903345,-6914315,
0.2720000000000002,1600778940.5425699,56536,-6836489,-6788371,-6849976,-6850852,-6861906,
0.2760000000000002,1600778940.5426066,64036,-6856762,-6803011,-6871145,-6872112,-6883081,
0.2800000000000002,1600778940.5426435,69914,-6914016,-6861714,-6930511,-6931431,-6942516,
0.2840000000000002,1600778940.5426812,75324,-6946253,-6892851,-6959770,-6960787,-6971863,
0.2880000000000002,1600778940.5427203,80440,-6891532,-6843703,-6903859,-6904801,-6915819,
0.2920000000000002,1600778940.5427692,84524,-6839558,-6789174,-6852759,-6853749,-6864672,
0.2960000000000002,1600778940.5428076,86365,-6854334,-6801724,-6868430,-6869427,-6880365,
0.3000000000000002,1600778940.542848,86096,-6916643,-6864369,-6932479,-6933497,-6944496,
0.3040000000000002,1600778940.5428853,84877,-6932371,-6875252,-6947834,-6948793,-6959898,
0.3080000000000002,1600778940.542922,83112,-6888027,-6832307,-6905193,-6906260,-6917205,
0.3120000000000002,1600778940.5429595,80337,-6837494,-6783496,-6852399,-6853388,-6864294,
0.3160000000000002,1600778940.542999,75708,-6858570,-6789996,-6874541,-6875435,-6886431,
0.32000000000000023,1600778940.5430355,70411,-6919228,-6855385,-6937661,-6938576,-6949644,
0.32400000000000023,1600778940.5430737,63650,-6934325,-6874186,-6948212,-6949192,-6960230,
0.32800000000000024,1600778940.5431106,56749,-6892250,-6838655,-6907642,-6908629,-6919673,
0.33200000000000024,1600778940.5431485,48785,-6848323,-6795668,-6864424,-6865417,-6876363,
0.33600000000000024,1600778940.5431986,38809,-6863017,-6807684,-6877086,-6878150,-6889069,
