time,,,,,,,
0.0,1594289079.0505922,2068,-8895,9369,-9518,7021,1005,
0.004,1594289079.0506725,-23625,-8049,11846,199485,-203579,113,
0.008,1594289079.0507212,-117512,-7717,13800,1486657,-1492107,-257,
0.012,1594289079.0507703,-111889,-8931,12974,2146852,-2151618,92,
0.016,1594289079.0508313,-8065,-10601,11444,450876,-453793,936,
0.02,1594289079.0508819,2010,-10853,11349,-9447,7159,1011,
0.024,1594289079.0509317,-22729,-9661,13460,188288,-192261,151,
0.028,1594289079.0509796,-114647,-8861,14934,1476531,-1481892,-255,
0.032,1594289079.051023,-110747,-9590,13648,2185364,-2190079,107,
0.036000000000000004,1594289079.0510724,-7722,-10733,11616,463188,-466112,925,
0.04000000000000001,1594289079.051119,1982,-10401,10971,-9247,6875,976,
0.04400000000000001,1594289079.051167,-23080,-8777,12671,199877,-203933,115,
0.048000000000000015,1594289079.051213,-111692,-7541,13652,1482112,-1487619,-199,
0.05200000000000002,1594289079.0512834,-106567,-7907,11989,2157034,-2161908,88,
0.05600000000000002,1594289079.0513449,-7254,-8632,9552,455759,-458846,916,
0.060000000000000026,1594289079.0514033,2012,-8112,8620,-9402,6944,909,
0.06400000000000003,1594289079.051448,-22634,-5809,9697,189592,-193881,111,
0.06800000000000003,1594289079.0514946,-115358,-3951,10081,1470576,-1476318,-207,
0.07200000000000004,1594289079.0515358,-111358,-4159,8290,2149551,-2154749,118,
0.07600000000000004,1594289079.0515804,-7713,-5002,5923,453403,-456757,928,
0.08000000000000004,1594289079.0516212,2427,-4152,4635,-9823,7074,936,
0.08400000000000005,1594289079.051661,-22457,-1080,4927,193185,-197694,120,
0.08800000000000005,1594289079.0517025,-114480,1507,4808,1501052,-1507124,-255,
0.09200000000000005,1594289079.051744,-109250,1083,3136,2216262,-2221708,34,
0.09600000000000006,1594289079.051785,-7116,-333,1249,462919,-466493,893,
0.10000000000000006,1594289079.0518265,2588,461,89,-10144,7178,1018,
0.10400000000000006,1594289079.0518847,-21268,4190,-203,184183,-188986,150,
0.10800000000000007,1594289079.051928,-111644,7393,-1004,1452409,-1458681,-227,
0.11200000000000007,1594289079.0519686,-107236,5790,-1509,2117369,-2122887,48,
0.11600000000000008,1594289079.0520105,-7432,3055,-2081,459612,-463269,887,
0.12000000000000008,1594289079.052053,2910,3105,-2561,-10569,7414,1037,
0.12400000000000008,1594289079.0520937,-20404,6714,-2787,175585,-180439,99,
0.12800000000000009,1594289079.0521336,-105802,8586,-2418,1353074,-1359298,-202,
0.1320000000000001,1594289079.052175,-99588,6078,-1894,1970939,-1976462,122,
0.1360000000000001,1594289079.0522177,-5965,2518,-1651,379781,-383367,949,
0.1400000000000001,1594289079.052258,3047,1623,-1186,-10687,7662,1089,
0.1440000000000001,1594289079.0523,-20080,3558,265,172961,-177666,177,
0.1480000000000001,1594289079.0523527,-104899,4559,1649,1398057,-1404183,-195,
0.1520000000000001,1594289079.0523942,-96250,1737,2364,1999152,-2004513,79,
0.1560000000000001,1594289079.0524366,-5768,-1613,2487,407434,-410883,923,
0.16000000000000011,1594289079.0524774,3042,-2781,3100,-10632,7842,1066,
0.16400000000000012,1594289079.052517,-19293,-1698,5414,169580,-174034,122,
0.16800000000000012,1594289079.052558,-102391,-1458,7478,1359154,-1364964,-202,
0.17200000000000013,1594289079.0526,-93927,-3644,7661,1943552,-1948639,143,
0.17600000000000013,1594289079.0526397,-5871,-6157,7002,370157,-373298,915,
0.18000000000000013,1594289079.0526807,2888,-7071,7434,-10225,7712,1023,
0.18400000000000014,1594289079.0527227,-19119,-6314,9976,172700,-176770,141,
0.18800000000000014,1594289079.0527623,-101540,-6085,12002,1368190,-1373563,-212,
0.19200000000000014,1594289079.0528033,-93529,-7651,11642,2041591,-2046346,178,
0.19600000000000015,1594289079.052859,-5574,-9572,10347,431661,-434583,1001,
0.20000000000000015,1594289079.0529015,2807,-10112,10452,-9825,7558,1043,
0.20400000000000015,1594289079.0529432,-19017,-8979,12622,173612,-177495,159,
0.20800000000000016,1594289079.0529847,-97173,-8512,14394,1370096,-1375254,-217,
0.21200000000000016,1594289079.0530257,-89842,-9588,13593,2031294,-2035948,103,
0.21600000000000016,1594289079.0530672,-5234,-10931,11756,412851,-415647,919,
0.22000000000000017,1594289079.053111,2696,-10842,11271,-9758,7527,1044,
0.22400000000000017,1594289079.0531526,-18588,-9541,13131,160370,-164128,170,
0.22800000000000017,1594289079.053195,-99446,-8331,14351,1371803,-1377076,-181,
0.23200000000000018,1594289079.0532374,-93888,-9113,13098,2063265,-2067934,149,
0.23600000000000018,1594289079.053279,-6038,-10065,10899,446701,-449566,887,
0.24000000000000019,1594289079.053335,2739,-9566,9974,-9825,7528,1039,
0.2440000000000002,1594289079.0533776,-19025,-7598,11294,175597,-179629,139,
0.2480000000000002,1594289079.0534189,-101310,-6078,12094,1436269,-1441747,-199,
0.25200000000000017,1594289079.0534604,-95411,-6309,10396,2155058,-2159944,72,
0.25600000000000017,1594289079.0535014,-6310,-6936,7934,472423,-475602,851,
0.2600000000000002,1594289079.0535429,2946,-6309,6749,-10013,7384,1083,
0.2640000000000002,1594289079.0535848,-18649,-3815,7502,174278,-178547,148,
0.2680000000000002,1594289079.0536244,-105906,-1349,7569,1488821,-1494609,-234,
0.2720000000000002,1594289079.0536666,-102081,-1514,5782,2305629,-2310913,87,
0.2760000000000002,1594289079.0537066,-6854,-2606,3631,566362,-569893,894,
0.2800000000000002,1594289079.0537488,2802,-1851,2366,-9852,6949,1036,
0.2840000000000002,1594289079.0538023,-20293,1644,2300,195023,-199728,174,
0.2880000000000002,1594289079.053844,-108700,4624,1750,1531826,-1537971,-296,
0.2920000000000002,1594289079.053885,-107687,3908,536,2359803,-2365312,17,
0.2960000000000002,1594289079.0539272,-7555,1670,-567,614944,-618707,868,
0.3000000000000002,1594289079.053968,2965,2056,-1497,-10186,7100,1022,
0.3040000000000002,1594289079.0540097,-19682,5931,-1980,179792,-184568,118,
0.3080000000000002,1594289079.05405,-107833,9252,-2848,1440428,-1446747,-271,
0.3120000000000002,1594289079.0540912,-107930,7359,-2830,2261637,-2267247,6,
0.3160000000000002,1594289079.0541337,-8245,3534,-2372,587619,-591421,842,
0.32000000000000023,1594289079.0541837,2891,2999,-2446,-10111,7025,1004,
0.32400000000000023,1594289079.0542247,-20287,6288,-2316,187103,-191889,128,
